Datetime,Conditions,Temperature (C),Relativehumidity(%),Dew point(C),Humidex (C),Pressure(kPa),Visibility (km),Wind Direction,Wind Speed (km/hr),Wind chill (C)
2018-05-21 22:00:00,Mainly Clear,14.8,75.0,10.0,,101.6,48.0,N,5.0,
2018-05-21 23:00:00,Clear,13.5,76.0,9.0,,101.6,32.0,,0.0,
2018-05-22 00:00:00,Clear,13.1,77.0,9.0,,101.6,32.0,E,11.0,
2018-05-22 01:00:00,Clear,12.9,84.0,10.0,,101.6,32.0,E,8.0,
2018-05-22 02:00:00,Clear,12.2,88.0,10.0,,101.6,32.0,E,12.0,
2018-05-22 03:00:00,Clear,12.0,87.0,10.0,,101.6,32.0,E,9.0,
2018-05-22 04:00:00,Clear,11.9,88.0,10.0,,101.6,32.0,N,2.0,
2018-05-22 05:00:00,Fog,10.4,97.0,10.0,,101.6,48.0,N,2.0,
2018-05-22 06:00:00,Mainly Sunny,11.0,91.0,10.0,,101.5,48.0,,0.0,
2018-05-22 07:00:00,Partly Cloudy,13.0,92.0,12.0,,101.6,48.0,N,2.0,
2018-05-22 08:00:00,Mainly Sunny,14.8,82.0,12.0,,101.6,48.0,SW,6.0,
2018-05-22 09:00:00,Partly Cloudy,15.8,78.0,12.0,,101.5,48.0,WSW,10.0,
2018-05-22 10:00:00,Partly Cloudy,15.9,75.0,12.0,,101.5,48.0,WSW,12.0,
2018-05-22 11:00:00,Partly Cloudy,16.1,80.0,13.0,,101.5,48.0,WSW,15.0,
2018-05-22 12:00:00,Mainly Sunny,17.4,77.0,13.0,,101.4,48.0,W,12.0,
2018-05-22 13:00:00,Mainly Sunny,18.2,68.0,12.0,,101.4,48.0,SW,12.0,
2018-05-22 14:00:00,Mainly Sunny,18.8,64.0,12.0,,101.3,48.0,SW,12.0,
2018-05-22 15:00:00,Mainly Sunny,19.5,62.0,12.0,,101.2,48.0,WSW,12.0,
2018-05-22 16:00:00,Sunny,19.4,67.0,13.0,,101.2,48.0,WSW,10.0,
2018-05-22 17:00:00,Mainly Sunny,20.1,64.0,13.0,23.0,101.1,48.0,WSW,9.0,
2018-05-22 18:00:00,Sunny,19.7,59.0,12.0,,101.0,48.0,WSW,11.0,
2018-05-22 19:00:00,Sunny,19.6,67.0,14.0,,101.0,48.0,WNW,9.0,
2018-05-22 20:00:00,Sunny,18.4,70.0,13.0,,101.0,48.0,W,5.0,
2018-05-22 21:00:00,Clear,16.1,84.0,13.0,,101.0,48.0,SSW,7.0,
