Datetime,Hour of Day,Conditions,Temperature (C),Relative Humidity (%),Dew Point (C),Humidex (C),Pressure (kPa),Visibility (km),Wind Direction,Wind Speed (km/hr),Wind Chill (C)
2018-05-21 23:00:00,23,Partly Cloudy,17.6,45.0,6.0,,100.9,24.0,NE,17.0,
2018-05-22 00:00:00,0,Mainly Clear,16.0,52.0,6.0,,101.0,24.0,ENE,10.0,
2018-05-22 01:00:00,1,Mainly Clear,13.1,61.0,6.0,,101.0,24.0,NNE,11.0,
2018-05-22 02:00:00,2,Mainly Clear,12.3,66.0,6.0,,101.0,24.0,N,11.0,
2018-05-22 03:00:00,3,Mainly Clear,12.3,70.0,7.0,,101.1,24.0,NNE,16.0,
2018-05-22 04:00:00,4,Mainly Clear,12.2,76.0,8.0,,101.1,24.0,NNE,16.0,
2018-05-22 05:00:00,5,Partly Cloudy,12.1,79.0,9.0,,101.1,24.0,ENE,16.0,
2018-05-22 06:00:00,6,Partly Cloudy,15.2,69.0,10.0,,101.2,19.0,NW,20.0,
2018-05-22 07:00:00,7,Thunderstorm with light rainshowers,14.0,76.0,10.0,,101.3,24.0,W,9.0,
2018-05-22 08:00:00,8,Mostly Cloudy,14.2,78.0,11.0,,101.4,24.0,W,10.0,
2018-05-22 09:00:00,9,Partly Cloudy,16.0,69.0,10.0,,101.4,24.0,W,8.0,
2018-05-22 10:00:00,10,Mostly Cloudy,17.8,62.0,11.0,,101.5,24.0,NNE,4.0,
2018-05-22 11:00:00,11,Partly Cloudy,21.6,42.0,8.0,,101.5,24.0,E,4.0,
2018-05-22 12:00:00,12,Partly Cloudy,23.7,34.0,7.0,,101.5,24.0,SE,4.0,
2018-05-22 13:00:00,13,Partly Cloudy,24.4,30.0,6.0,,101.5,24.0,N,7.0,
2018-05-22 14:00:00,14,Partly Cloudy,25.5,28.0,6.0,,101.4,24.0,E,10.0,
2018-05-22 15:00:00,15,Mostly Cloudy,26.6,25.0,5.0,,101.4,24.0,NE,13.0,
2018-05-22 16:00:00,16,Partly Cloudy,26.1,27.0,6.0,,101.4,24.0,N,6.0,
2018-05-22 17:00:00,17,Partly Cloudy,26.3,25.0,5.0,,101.4,24.0,E,12.0,
2018-05-22 18:00:00,18,Partly Cloudy,26.6,23.0,4.0,,101.3,24.0,E,8.0,
2018-05-22 19:00:00,19,Partly Cloudy,25.0,32.0,8.0,,101.4,24.0,ENE,14.0,
2018-05-22 20:00:00,20,Partly Cloudy,23.4,35.0,7.0,24.0,101.4,24.0,SSE,13.0,
2018-05-22 21:00:00,21,Partly Cloudy,20.0,41.0,7.0,,101.4,24.0,,0.0,
2018-05-22 22:00:00,22,Mainly Clear,16.5,51.0,6.0,,101.5,24.0,E,14.0,
